Name,sb%
Riftwing Cloudskate,33.3
Righteous Confluence,0
Rimrock Knight,50
Ripjaw Raptor,66.7
Rishadan Port,51.2
"Rishkar, Peema Renegade",71.4
Risk Factor,0
Rite of Flame,100
Rix Maadi Reveler,0
"Roalesk, Apex Hybrid",100
Robber of the Rich,33.3
Rocky Tar Pit,0
"Rofellos, Llanowar Emissary",17.2
Roil Eruption,66.7
Rolling Earthquake,39.4
Rootbound Crag,0
Rotting Regisaur,43.8
Royal Assassin,100
Ruin Raider,50
Ruinous Path,100
Runaway Steam-Kin,21.1
Rune Snag,0
Runechanter's Pike,100
"Ruric Thar, the Unbowed",50
"Ryusei, the Falling Star",100
Sacred Foundry,45.1
Sage of Fables,100
Sagu Mauler,75
"Saheeli, Sublime Artificer",66.7
"Saheeli, the Gifted",48.4
Sakura-Tribe Elder,16.7
Sandsteppe Outcast,100
Sandwurm Convergence,100
Sarcomancy,72
Sarkhan the Masterless,33.3
Sarkhan Vol,75
"Sarkhan, the Dragonspeaker",70.6
Savage Lands,0
Savai Triome,33.3
Savannah,18.4
Scalding Tarn,10.1
Scatter to the Winds,0
Scattered Groves,50
Scavenging Ooze,47.3
Scour All Possibilities,0
Scrapheap Scrounger,34.1
Scroll of Fate,100
Scroll Rack,77.3
Scrubland,29
Scute Mob,100
Scuttling Doom Engine,0
Sea Gate Oracle,0
Sea Gate Restoration,0
Sea Gate Stormcaller,100
Seachrome Coast,30.4
Seal of Cleansing,87.5
Seal of Fire,100
Search for Azcanta,18.9
Search for Tomorrow,33.3
Searing Blaze,0
Searing Spear,39.1
Seasoned Hallowblade,38.9
Seasoned Pyromancer,38.5
Secure the Wastes,45.2
Seeker of the Way,100
Seething Song,50
Selesnya Charm,50
Selesnya Signet,29.2
Selfless Spirit,32.3
Selvala's Stampede,57.7
Sensei's Divining Top,20
Seraph of the Scales,60
Serendib Efreet,66.7
Serra the Benevolent,15.8
Serrated Arrows,0
Serum Visions,16.7
Servant of the Conduit,100
Set Adrift,50
Settle the Wreckage,100
Sevinne's Reclamation,33.3
Shadowmage Infiltrator,0
Shallow Grave,31.6
Shambling Vent,46.4
Shardless Agent,33.3
Shark Typhoon,22.2
Shatter the Sky,70
Shatterskull Smashing,20
Shelldock Isle,20
Sheltered Thicket,20
"Sheoldred, Whispering One",29
Shimmer of Possibility,0
Shivan Fire,0
Shivan Reef,20
Shock,0
Show and Tell,45.2
Shrapnel Blast,100
Shriekmaw,25.8
Shrine of Burning Rage,59.4
Siege-Gang Commander,59.2
"Sigarda, Host of Herons",100
Sign in Blood,100
Signal Pest,100
Silent Clearing,13.8
Silkwrap,100
Silverblade Paladin,52.9
Simic Signet,17.6
Sin Prodder,50
Sinister Sabotage,0
Sinkhole,50
Sire of Insanity,75
Skarrgan Hellkite,0
Skinrender,47.6
Skullclamp,12.2
Skyclave Apparition,16.7
Skyclave Shade,75
Skymarcher Aspirant,59.3
Skyship Plunderer,50
"Skysovereign, Consul Flagship",0
Slagstorm,100
Slaughter Pact,50
Slave of Bolas,0
Sleight of Hand,0
Sling-Gang Lieutenant,100
Slippery Bogbonder,33.3
Smallpox,100
Smash to Smithereens,100
Smokestack,71
Smoldering Marsh,0
Smuggler's Copter,21.6
Snapcaster Mage,14.6
Sneak Attack,26
Snuff Out,51.7
Sol Ring,2.8
Soldier of the Pantheon,50
Solemn Simulacrum,18.6
Soltari Trooper,80
Song of the Dryads,50
Sorcerous Spyglass,74.3
"Sorin, Lord of Innistrad",39.1
"Sorin, Solemn Visitor",33.3
Soul Collector,100
Soul of Innistrad,100
Soul of Theros,0
Soul-Scar Mage,35
Soulfire Grand Master,81.8
Soulherder,50
Sower of Temptation,20.8
Spawn of Mayhem,27.3
Spear of Heliod,76
Spectral Procession,53.1
Spectral Sailor,100
Spell Pierce,14.3
Spell Queller,50
Spell Snare,0
Spellgorger Weird,0
Spellseeker,29.4
Spellskite,64.3
Sphere of the Suns,0
Sphinx of Foresight,0
Sphinx of the Steel Wind,53.2
Sphinx's Revelation,53.3
Spider Spawning,100
Spikefield Hazard,0
Spire of Industry,100
Spirebluff Canal,24
Spirit of the Labyrinth,50
Splinter Twin,38.6
Sprite Dragon,40
Sram's Expertise,83.3
Staggershock,0
Stalking Leonin,25
Stasis Snare,50
Steam Vents,25.7
Steel Hellkite,50
Steel Leaf Champion,100
Steppe Lynx,66.7
Stirring Wildwood,46
Stoke the Flames,50
Stomping Ground,36.7
Stonecoil Serpent,30.8
Stoneforge Mystic,30
Storm's Wrath,100
Stormblood Berserker,55.6
Stormbreath Dragon,66.7
Stormfist Crusader,50
Strategic Planning,0
Strip Mine,1.6
Stromkirk Noble,30
Student of Warfare,51.7
Sublime Epiphany,100
Subterranean Tremors,70.6
Sulfur Falls,33.3
Sulfuric Vortex,35
Sulfurous Springs,22.2
Sultai Emissary,100
Sun Titan,44.7
Sunbaked Canyon,21.4
Sunder,100
Sundering Titan,26.9
Sunpetal Grove,0
Supreme Verdict,33.3
Supreme Will,14.3
"Surrak, the Hunt Caller",70
Survival of the Fittest,35.5
Swallow Whole,0
Swamp,8.3
Sweet-Gum Recluse,100
Sweltering Suns,65
Sword of Body and Mind,27.6
Sword of Feast and Famine,30.3
Sword of Fire and Ice,26.2
Sword of Kaldra,100
Sword of Light and Shadow,73.5
Sword of Sinew and Steel,66.7
Sword of the Animist,100
Sword of Truth and Justice,55.6
Sword of War and Peace,59
Swords to Plowshares,11.7
Sylvan Advocate,28.6
Sylvan Caryatid,3.8
Sylvan Library,15.8
Syncopate,0
Taiga,28.3
"Tajic, Legion's Edge",0
Tajuru Paragon,0
Talisman of Conviction,26.3
Talisman of Creativity,11.1
Talisman of Curiosity,14.3
Talisman of Dominance,8.7
Talisman of Hierarchy,26.7
Talisman of Impulse,20
Talisman of Indulgence,26.7
Talisman of Progress,11.4
Talisman of Resilience,40
Talisman of Unity,23.1
"Talrand, Sky Summoner",0
Talrand's Invocation,100
"Tamiyo, the Moon Sage",25
Tangle Wire,51.1
Tarfire,0
Tarmogoyf,63.2
"Tasigur, the Golden Fang",67.6
Tectonic Giant,100
Tectonic Reformation,100
"Teferi, Hero of Dominaria",37.3
"Teferi, Mage of Zhalfir",0
"Teferi, Time Raveler",11.1
Teferi's Tutelage,50
Telling Time,0
Tempest Djinn,100
Temple Garden,35.1
Temple of Abandon,50
Temple of Enlightenment,0
Temple of Epiphany,0
Temple of Malice,25
Temple of Mystery,0
Temple of Plenty,0
Temple of Triumph,50
Tendo Ice Bridge,14.3
Tendrils of Agony,80
Terastodon,31.2
Terminate,50
Terminus,83.3
Terramorphic Expanse,4.8
Territorial Hellkite,100
Terror,0
Terror of the Peaks,33.3
"Tetzimoc, Primal Death",0
"Teyo, the Shieldmage",100
"Teysa, Orzhov Scion",0
Tezzeret the Seeker,20
"Tezzeret, Agent of Bolas",33.3
"Tezzeret, Artifice Master",30.8
"Thalia, Guardian of Thraben",50
"Thalia, Heretic Cathar",34.3
Thalia's Lancers,50
Thalia's Lieutenant,100
"Thassa, Deep-Dwelling",66.7
Thassa's Intervention,33.3
Thassa's Oracle,71.4
The Abyss,70
The Antiquities War,72.7
The Eldest Reborn,0
The First Iroan Games,20
The Flame of Keld,0
The Gitrog Monster,66.7
The Immortal Sun,100
The Locust God,100
The Mirari Conjecture,100
The Ozolith,66.7
The Royal Scions,50
The Scarab God,38.1
The Wanderer,0
Thermo-Alchemist,100
Thespian's Stage,0
Thief of Sanity,23.1
Thieving Skydiver,100
Thing in the Ice,61.5
Thirst for Knowledge,29
Thought Scour,0
Thought Vessel,0
Thought-Knot Seer,25
Thoughtseize,11.3
Thousand-Year Storm,81.2
Thraben Inspector,33.3
Thragtusk,36.5
Thran Dynamo,27.3
Thran Temporal Gateway,0
Thrashing Brontodon,50
Three Visits,0
Thrill of Possibility,100
Throne of the God-Pharaoh,0
Throne of the High City,100
Through the Breach,34.2
Thrummingbird,100
"Thrun, the Last Troll",46.4
Thunderbreak Regent,100
Thundering Rebuke,0
Thundermaw Hellkite,45.5
Tidehollow Sculler,52
Tidings,100
Time Spiral,50
Time Walk,0
Time Warp,14.3
Time Wipe,66.7
Timely Reinforcements,100
Timetwister,45.5
Tinker,32.6
Tireless Tracker,9.1
"Titania, Protector of Argoth",100
Tithe Taker,40.9
Tolarian Academy,52.5
Tombstalker,66.7
Tooth and Nail,61.3
"Toothy, Imaginary Friend",100
Topan Freeblade,100
Tormented Hero,77.8
Tormented Soul,0
Torrential Gearhulk,54.5
Toxic Deluge,39.7
Tragic Slip,100
Trash for Treasure,100
Traverse the Ulvenwald,100
Treachery,12.8
Treasure Cruise,41.7
Treasure Keeper,0
Treasure Map,35.7
Treetop Village,23.1
Trinket Mage,33.3
Triskelion,66.7
Troll Ascetic,100
Tropical Island,20
Trostani Discordant,46.3
True-Name Nemesis,24.1
Trumpeting Herd,50
Trygon Predator,50
Tundra,14.5
Turn // Burn,50
Turnabout,75
Turntimber Symbiosis,0
"Ugin, the Ineffable",75
"Ugin, the Spirit Dragon",31.4
"Ulamog, the Ceaseless Hunger",30.8
"Ulamog, the Infinite Gyre",35.3
Ultimate Price,55.6
Ulvenwald Tracker,100
Umezawa's Jitte,8.2
Unbreakable Formation,66.7
Unburial Rites,50
Underground River,0
Underground Sea,8.5
Underworld Breach,100
Undiscovered Paradise,69.2
Unexpectedly Absent,40.2
Unsubstantiate,100
Unsummon,100
Upheaval,38.8
"Urborg, Tomb of Yawgmoth",0
"Uro, Titan of Nature's Wrath",26.7
"Urza, Lord High Artificer",33.3
Utopia Sprawl,27.3
Valorous Stance,50
Vampire Hexmage,88.2
Vampire Lacerator,100
Vampire Nighthawk,59.6
Vampiric Tutor,10.4
Vedalken Shackles,58.3
Vendetta,0
Vendilion Clique,14.8
Venerable Knight,60
Venerated Loxodon,50
"Venser, Shaper Savant",21.9
"Venser, the Sojourner",0
Verdant Catacombs,5.3
Verdurous Gearhulk,53.3
Verix Bladewing,0
Vessel of Nascency,100
Vial Smasher the Fierce,0
Viashino Pyromancer,100
Victim of Night,100
Victimize,100
"Vilis, Broker of Blood",100
Village Rites,100
Vindicate,43.5
Viscera Seer,50
Vivien Reid,33.3
"Vivien, Arkbow Ranger",0
"Vivien, Champion of the Wilds",71.4
"Vivien, Monsters' Advocate",0
Vivien's Arkbow,75
Vizier of Many Faces,50
Voice of Resurgence,63.6
Volcanic Hammer,0
Volcanic Island,12.5
Voldaren Pariah,100
Volrath's Stronghold,61.9
Voltaic Key,100
Voracious Greatshark,100
Voracious Hydra,40.7
Vorapede,75
"Vraska, Golgari Queen",36.1
"Vraska, Relic Seeker",70
Vraska's Contempt,35.3
Vryn Wingmare,83.3
Walk the Plank,100
Walking Ballista,29.8
Wall of Blossoms,42.9
Wall of Omens,48
Wall of Roots,34
Wall of Souls,0
Wandering Fumarole,26.4
Warden of the First Tree,55
Warkite Marauder,80
Warrant // Warden,0
Wasteland,15.6
Watcher for Tomorrow,50
Waterfront Bouncer,100
Waterlogged Grove,25
Watery Grave,12.7
Wear // Tear,66.7
Westvale Abbey,100
Wheel of Fortune,45.8
Whipcorder,0
Whirler Rogue,43.9
Whisperwood Elemental,41.4
Wicked Wolf,0
Wickerbough Elder,63.2
Wild Growth,60
Wild Mongrel,90.9
Wild Slash,40
Wildborn Preserver,50
Wilderness Reclamation,66.7
Wildfire,82.9
Wildfire Devils,100
Will Kenrith,44.4
Wilt,75
Windbrisk Heights,100
Winding Constrictor,100
Winds of Abandon,31.6
Windswept Heath,3.7
"Winota, Joiner of Forces",100
Winter Orb,50.9
Wishclaw Talisman,83.3
Witching Well,0
Woe Strider,44.4
Wolfbriar Elemental,83.3
Wolfir Avenger,50
Wooded Foothills,11.1
Woodfall Primus,21.5
Worldly Tutor,64.3
Worldspine Wurm,33.3
Worn Powerstone,26.2
Wrath of God,58.5
Wrenn and Six,43.8
Wretched Confluence,0
Wurmcoil Engine,14.5
"Xenagos, the Reveler",47.1
"Yahenni, Undying Partisan",0
Yahenni's Expertise,0
Yavimaya Coast,50
Yavimaya Elder,60.7
"Yawgmoth, Thran Physician",53.8
Yawgmoth's Bargain,83.3
Yawgmoth's Will,60
"Yorion, Sky Nomad",80
Young Pyromancer,27.4
Zagoth Triome,33.3
"Zahid, Djinn of the Lamp",100
Zealous Conscripts,46.8
Zealous Persecution,100
"Zegana, Utopian Speaker",100
"Zetalpa, Primal Dawn",100
"Zilortha, Strength Incarnate",100
"Zirda, the Dawnwaker",100
Zombify,0
Zulaport Cutthroat,71.4
Zurgo Bellstriker,35.7
Ankh of Mishra,Low Data
As Foretold,Low Data
Assault // Battery,Low Data
Asylum Visitor,Low Data
Bontu's Last Reckoning,Low Data
Brimstone Volley,Low Data
Cavalier of Flame,Low Data
"Chevill, Bane of Monsters",Low Data
Dack's Duplicate,Low Data
Elvish Reclaimer,Low Data
"Ezuri, Claw of Progress",Low Data
Feed the Swarm,Low Data
Fetid Heath,Low Data
Fire Imp,Low Data
Gilded Drake,Low Data
Graven Cairns,Low Data
Grim Flayer,Low Data
Hellkite Overlord,Low Data
Hero of Precinct One,Low Data
"Jace, Wielder of Mysteries",Low Data
Kargan Dragonlord,Low Data
Kaya's Guile,Low Data
"Keranos, God of Storms",Low Data
"Kess, Dissident Mage",Low Data
Khalni Ambush,Low Data
Kor Skyfisher,Low Data
Lotleth Troll,Low Data
Mental Misstep,Low Data
Mirrodin's Core,Low Data
Molten Vortex,Low Data
Morphling,Low Data
Mossfire Valley,Low Data
"Nissa, Vital Force",Low Data
Pain Seer,Low Data
Plague Belcher,Low Data
"Polukranos, Unchained",Low Data
Precursor Golem,Low Data
Prognostic Sphinx,Low Data
Putrid Leech,Low Data
Rhonas the Indomitable,Low Data
Savannah Lions,Low Data
Scythe Leopard,Low Data
"Sidisi, Brood Tyrant",Low Data
Skycloud Expanse,Low Data
Soltari Priest,Low Data
Sprouting Thrinax,Low Data
"Tamiyo, Field Researcher",Low Data
Toolcraft Exemplar,Low Data
Trueheart Duelist,Low Data
Twilight Mire,Low Data
Ulcerate,Low Data
Unearth,Low Data
Vengevine,Low Data
Vindictive Lich,Low Data
War-Name Aspirant,Low Data
Wild Nacatl,Low Data
