deckID,colors,baseColors,splashes,sphere,archetype,deckName,date,cubeType
219,blue black,blue black,-,control,-,Dimir Control [WOTC Vintage],2021-01-31,WOTC Vintage
220,blue black white,blue black,white,midrange,-,Esper (UBW) Aggressive Midrange 3.9.18.txt,2018-03-09,Vintage Unpowered
221,blue black white,black white,blue,aggro,-,Esper (UBW) Aggro.txt,2019-07-02,Vintage Unpowered
222,blue black white,black,blue white,ramp,artifacts,Esper (UBW) Artifact Ramp [WOTC Vintage].txt,2019-09-03,WOTC Vintage
223,blue black white,blue white,black,control,balance,Esper (UBW) Balance Control .txt,2017-12-03,Vintage Unpowered
224,blue black white,blue white,black,control,balance,Esper (UBW) Balance Control 6.13.18.txt,2018-06-13,Vintage Unpowered
225,blue black white,blue black,white,control,balance,Esper (UBW) Balance Control 7.11.18.txt,2018-07-11,Vintage Unpowered
226,blue black white,blue white,black,control,balance,Esper (UBW) Balance Control 8.15.18.txt,2018-08-05,Vintage Unpowered
227,blue black white,blue black,white,control,balance,Esper (UBW) Balance Control 9.8.18.txt,2018-09-08,Vintage Unpowered
228,blue black white,blue white,black,control,balance,Esper (UBW) Balance Control [WOTC Vintage].txt,2020-03-20,WOTC Vintage
229,blue black white,blue black white,-,control,balance,Esper (UBW) Balance Control copy.txt,2019-09-03,Vintage Unpowered
230,blue black white,blue white,black,control,balance,Esper (UBW) Balance Control.txt,2019-09-03,Vintage Unpowered
231,blue black white,blue white,black,control,balance  moat,Esper (UBW) Balance Moat Control 6.16.18 [WOTC Vintage].txt,2018-06-16,WOTC Vintage
232,blue black white,blue white,black,control,balance,Esper (UBW) Balance Psychatog Control 10.8.18.txt,2018-10-08,Vintage Unpowered
233,blue black white,blue black white,-,control,spellsmatter  balance,Esper (UBW) Balance Spells Matters Control 2.9.18.txt,2018-02-09,Vintage Unpowered
234,blue black white,blue black,white,combo,reanimator  artifacts  balance,Esper (UBW) Balance Tinker Reanimator Combo [WOTC Vintage].txt,2020-03-20,WOTC Vintage
235,blue black white,blue black white,-,control,balance  upheaval,Esper (UBW) Balance Upheaval Control [WOTC Vintage].txt,2018-12-28,WOTC Vintage
236,blue black white,blue black white,-,control,-,Esper (UBW) Control,2021-01-31,Vintage Unpowered
237,blue black white,blue white,black,control,-,Esper (UBW) Control  [WOTC Vintage].txt,2018-12-28,WOTC Vintage
238,blue black white,blue black white,-,control,-,Esper (UBW) Control 11.18.18.txt,2018-11-18,Vintage Unpowered
239,blue black white,blue black white,-,control,-,Esper (UBW) Control 12.4.17.txt,2017-12-04,Vintage Unpowered
240,blue black white,blue black white,-,control,-,Esper (UBW) Control 3.10.18.txt,2018-03-10,Vintage Unpowered
241,blue black white,blue black white,-,control,-,Esper (UBW) Control 9.16.18.txt,2018-09-16,Vintage Unpowered
242,blue black white,blue black white,-,control,-,Esper (UBW) Control 9.2.18 [WOTC Vintage].txt,2018-09-02,WOTC Vintage
243,blue black white,blue black white,-,control,-,Esper (UBW) Control [WOTC VIntage],2021-01-31,NA
244,blue black white,blue black white,-,control,-,Esper (UBW) Control [WOTC Vintage].txt,2019-08-18,WOTC Vintage
245,blue black white,blue black white,-,control,-,Esper (UBW) Control.txt,2020-04-25,Vintage Unpowered
246,blue black white,blue white,black,midrange,-,Esper (UBW) Goodstuff Midrange.txt,2020-07-03,Vintage Unpowered
247,blue black white,blue white,black,control,-,Esper (UBW) Lutri Control,2021-01-31,Vintage Unpowered
248,blue black white,black white,blue,midrange,-,Esper (UBW) Midrange 10.13.18.txt,2018-10-13,Vintage Unpowered
249,blue black white,blue black white,-,midrange,-,Esper (UBW) Midrange 11.22.18 [WOTC Vintage].txt,2018-11-22,WOTC Vintage
250,blue black white,blue black white,-,midrange,-,Esper (UBW) Midrange [WOTC Vintage].txt,2019-07-28,WOTC Vintage
251,blue black white,blue black white,-,midrange,-,Esper (UBW) Midrange.txt,2019-07-02,Vintage Unpowered
252,red blue black white,blue white,red black,control,moat,Esper (UBW) Moat Control,2021-01-31,Vintage Unpowered
253,blue black white,blue white,black,control,moat,Esper (UBW) Moat Control 1.20.18.txt,2018-01-20,Vintage Unpowered
254,blue white,blue white,-,control,moat,Esper (UBW) Moat Control 8.12.18 [WOTC Vintage].txt,2018-08-12,WOTC Vintage
255,blue black white,blue black,white,control,moat,Esper (UBW) Moat Control.txt,2020-01-12,Vintage Unpowered
256,blue black white,blue white,black,control,opposition  moat,Esper (UBW) Opposition Moat Control 8.30.18.txt,2018-08-30,Vintage Unpowered
257,blue black white,blue white,black,aggro control,opposition,Esper (UBW) Opposition Tempo 9.15.18.txt,2018-09-15,Vintage Unpowered
258,blue black white,blue white,black,control,mentor,Esper (UBW) Psychatog Mentor Control 9.10.18.txt,2018-09-10,Vintage Unpowered
259,blue black white,blue black,white,combo,reanimator,Esper (UBW) Reanimator Combo 3.24.18.txt,2018-03-24,Vintage Unpowered
260,red blue black white,blue black,red white,combo,reanimator,Esper (UBW) Reanimator Combo 7.4.18.txt,2018-07-04,Vintage Unpowered
261,blue black white,blue black,white,combo,reanimator,Esper (UBW) Reanimator Combo [WOTC Vintage].txt,2020-07-03,WOTC Vintage
262,blue black,black,blue,combo,reanimator,Esper (UBW) Reanimator Combo copy 2 [WOTC Vintage].txt,2020-01-12,WOTC Vintage
263,blue black,black,blue,combo,reanimator,Esper (UBW) Reanimator Combo copy [WOTC Vintage].txt,2020-01-12,WOTC Vintage
264,blue black white,blue black,white,combo,reanimator,Esper (UBW) Reanimator Combo.txt,2020-01-12,Vintage Unpowered
265,green blue black white,blue black,green white,midrange,reanimator,Esper (UBW) Reanimator Midrange.txt,2019-07-02,Vintage Unpowered
266,blue black white,blue black,white,midrange,reanimator,Esper (UBW) Recurring Nightmare Living Death Midrange 10.10.18.txt,2018-10-10,Vintage Unpowered
267,blue black white,blue black,white,midrange,reanimator,Esper (UBW) Recurring Nightmare Midrange.txt,2020-09-12,Vintage Unpowered
268,blue black white,black,blue white,combo,reanimator,Esper (UBW) Recurring Nightmare Reanimator Combo [WOTC Vintage].txt,2019-08-18,WOTC Vintage
269,blue black white,blue white,black,midrange,skullclamp  tokens,Esper (UBW) Skullclamp Tokens Midrange 11.12.18.txt,2018-11-12,Vintage Unpowered
270,blue white,white,blue,midrange,-,Esper (UBW) Stoneforege Midrange,2021-01-31,Vintage Unpowered
271,blue black white,blue white,black,aggro control,stoneforge  reveillark,Esper (UBW) Stoneforge Reveillark Tempo 4.28.18 [WOTC Vintage].txt,2018-04-28,WOTC Vintage
272,blue black white,black white,blue,aggro,stoneforge  skullclamp,Esper (UBW) Stoneforge Skullclamp Aggro [WOTC Vintage].txt,2020-09-12,WOTC Vintage
273,blue black white,blue white,black,control,superfriends,Esper (UBW) Superfriends Control [WOTC Vintage].txt,2019-04-12,WOTC Vintage
274,blue black white,blue white,black,control,superfriends,Esper (UBW) Superfriends Control.txt,2019-09-03,Vintage Unpowered
275,blue black white,blue white,black,midrange,mentor  superfriends,Esper (UBW) Superfriends Mentor Midrange 6.3.18.txt,2018-06-03,Vintage Unpowered
276,blue black white,blue black white,-,control,moat  superfriends,Esper (UBW) Superfriends Moat Control [WOTC Vintage].txt,2020-07-03,WOTC Vintage
277,blue black white,black white,blue,control,-,Esper (UBW) Tapout Control [WOTC Vintage].txt,2019-01-02,WOTC Vintage
278,blue black white,blue black white,-,aggro control,-,Esper (UBW) Tempo [WOTC Vintage].txt,2019-07-02,WOTC Vintage
279,blue black white,blue white,black,ramp,artifacts,Esper (UBW) Tinker Aritfacts Ramp [WOTC Vintage].txt,2020-09-12,WOTC Vintage
280,blue black white,blue black,white,ramp,artifacts  balance,Esper (UBW) Tinker Balance Ramp 9.1.18 [WOTC Vintage].txt,2018-09-01,WOTC Vintage
281,blue black white,blue black white,-,control,artifacts  moat  upheaval,Esper (UBW) Tinker Moat Upheaval Control 7.1.18.txt,2018-07-01,Vintage Unpowered
282,blue black white,blue white,black,control,artifacts  stoneforge,Esper (UBW) Tinker Stoneforge Control [WOTC Vintage].txt,2020-01-12,WOTC Vintage
283,blue black white,blue black,white,control,-,Esper (UBW) Torrential Control 12.5.17.txt,2017-12-05,Vintage Unpowered
284,blue black white,blue black,white,control,upheaval,Esper (UBW) Upheaval Control [WOTC Vintage].txt,2020-04-25,WOTC Vintage
285,red green blue black white,green blue,red black white,midrange,balance  superfriends,Five Color (WUBRG) Balance Superfriends Midrange 4.22.18 [WOTC Vintage].txt,2018-04-22,WOTC Vintage
286,red green blue black white,green,red blue black white,ramp,-,Five Color (WUBRG) Ramp 9.25.18 [WOTC Vintage].txt,2018-09-25,WOTC Vintage
287,red green blue black white,red green,blue black white,aggro,skullclamp,Five Color (WUBRG) Skullclamp Aggro 3.17.18 [WOTC Vintage].txt,2018-03-17,WOTC Vintage
288,red green black white,NA,red green black white,combo,cheat  channel,Five Color Channel Cheaty Face Combo [WOTC Vintage].txt,2019-08-18,WOTC Vintage
289,red green blue black white,red blue white,green black,midrange,-,Five Color Goodstuff Midrange [WOTC Vintage].txt,2020-07-03,WOTC Vintage
290,red green blue black white,green white,red blue black,midrange,-,Five Color Midrange.txt,2019-01-02,Vintage Unpowered
291,red green blue black white,red green blue black white,-,midrange,-,Five Color Niv-Mizzet Midrange.txt,2021-01-31,Vintage Unpowered
292,red green blue black white,green black,red blue white,midrange,reanimator  skullclamp,Five Color Skullclamp Recurring Nightmare Midrange.txt,2018-11-29,Vintage Unpowered
293,red green black white,green white,red black,ramp,-,Four Color (BRGW) Ramp 9.30.18.txt,2018-09-30,Vintage Unpowered
294,red green black white,green black white,red,midrange,balance,Four Color (RGBW) Balance Goodstuff Midrange 12.15.17.txt,2017-12-15,Vintage Unpowered
295,red green black white,red black white,green,midrange,-,Four Color (RGBW) Goodstuff Midrange 6.11.18.txt,2018-06-11,Vintage Unpowered
296,red green black white,green,red black white,midrange,-,Four Color (RGBW) Midrange.txt,2017-12-03,Vintage Unpowered
297,red green blue black,red blue,green black,combo,twin,Four Color (UBGR) Splinter Twin Combo [WOTC Vintage].txt,2020-07-03,WOTC Vintage
298,green blue black white,green blue black,white,midrange,-,Four Color (UBGW) Goodstuff Midrange 1.5.18 [WOTC Vintage].txt,2018-01-05,WOTC Vintage
299,green blue black white,green black,blue white,midrange,-,Four Color (UBGW) Goodstuff Midrange [WOTC Vintage],2021-01-31,WOTC Vintage
300,red green blue black,green blue black,red,midrange,opposition  reanimator,Four Color (UBRG) Recurring Nightmare Opposition Midrange 12.7.17.txt,2017-12-07,Vintage Unpowered
301,green blue black white,blue black white,green,control,balance,Four Color (UGBW) Balance Control.txt,2020-07-03,Vintage Unpowered
302,green blue black white,blue white,green black,control,-,Four Color (UGBW) Control.txt,2020-09-12,Vintage Unpowered
303,green blue black white,green blue black,white,midrange,edric,Four Color (UGBW) Edric Midrange,2021-01-31,Vintage Unpowered
304,green blue black white,green black white,blue,midrange,skullclamp  edric,Four Color (UGBW) Skullclamp Edric Midrange.txt,2020-03-20,Vintage Unpowered
305,green blue black white,blue black white,green,midrange,stoneforge,Four Color (UGBW) Stoneforge Goodstuff Midrange [WOTC Vintage],2021-01-31,WOTC Vintage
306,red green blue black,blue,red green black,combo,cheat,Four Color (URBG) Cheaty Face Combo 8.22.18.txt,2018-08-22,Vintage Unpowered
307,red green blue black,red blue,green black,combo,cheat,Four Color (URBG) Cheaty Face Combo.txt,2019-06-16,Vintage Unpowered
308,red green blue black,red green,blue black,midrange,-,Four Color (URBG) Goodstuff Midrange Colorless.txt,2018-05-26,Vintage Unpowered
309,red green blue black,red green blue,black,midrange,-,Four Color (URBG) Goodstuff Midrange [WOTC Vintage].txt,2020-07-03,WOTC Vintage
310,red green blue black,red green blue,black,combo,twin,Four Color (URBG) Kiki-Twin Combo 9.20.18 [WOTC Vintage].txt,2018-09-20,WOTC Vintage
311,red green blue black,NA,red green blue black,combo,cheat  artifacts,Four Color (URBG) Tinker Cheaty Face Combo.txt,2019-07-02,Vintage Unpowered
312,red green blue black,green,red blue black,ramp,upheaval,Four Color (URBG) Upheaval Ramp 4.22.18.txt,2018-04-22,Vintage Unpowered
313,red green blue black,blue,red green black,ramp,wildfire,Four Color (URBG) Wildfire Ramp [WOTC Vintage].txt,2019-04-12,WOTC Vintage
314,red blue black white,blue white,red black,control,balance,Four Color (URBW) Balance Control 4.22.18.txt,2018-04-22,Vintage Unpowered
315,red green blue white,blue white,red green,control,balance,Four Color (URBW) Balance Control [WOTC Vintage].txt,2020-09-12,WOTC Vintage
316,red blue black white,blue black,red white,control,balance  upheaval,Four Color (URBW) Balance Upheaval Control [WOTC Vintage].txt,2020-04-25,WOTC Vintage
317,red blue black white,blue black white,red,ramp,balance  upheaval,Four Color (URBW) Balance Upheaval Ramp.txt,2017-12-03,Vintage Unpowered
318,red blue black white,red blue white,black,control,wildfire  balance  superfriends,Four Color (URBW) Balance Wildfire Superfriends Control 8.11.18.txt,2018-08-11,Vintage Unpowered
319,red blue black white,red blue,black white,combo,twin,Four Color (URBW) Kiki Combo.txt,2020-07-03,Vintage Unpowered
320,red blue black white,red blue,black white,midrange,-,Four Color (URBW) Midrange.txt,2017-12-03,Vintage Unpowered
321,red blue black white,red blue black white,-,midrange,opposition,Four Color (URBW) Opposition Midrange 9.1.18.txt,2018-09-01,Vintage Unpowered
322,red blue black white,blue black,red white,midrange,opposition,Four Color (URBW) Opposition Midrange 9.26.18.txt,2018-09-26,Vintage Unpowered
323,red blue black white,black,red blue white,combo,-,Four Color (URBW) Oracle Combo [WOTC Vintage].txt,2020-07-03,WOTC Vintage
324,red blue black white,red blue,black white,ramp,artifacts  upheaval,Four Color (URBW) Tinker Upheaval Ramp 4.7.18 [WOTC Vintage].txt,2018-04-07,WOTC Vintage
325,red blue black white,blue white,red black,ramp,upheaval,Four Color (URBW) Upheaval Ramp 6.9.18.txt,2018-06-09,Vintage Unpowered
326,red green blue black,red,green blue black,combo,cheat  channel,Four Color (URGB) Channel Cheaty Face Combo.txt,2019-07-07,Vintage Unpowered
327,red green blue black,NA,red green blue black,combo,cheat,Four Color (URGB) Cheaty Face Combo [WOTC Vintage].txt,2019-07-28,WOTC Vintage
328,red green blue black,blue,red green black,combo,cheat,Four Color (URGB) Cheaty Face Combo copy.txt,2020-03-20,Vintage Unpowered
329,red green blue black,blue black,red green,combo,cheat,Four Color (URGB) Cheaty Face Combo.txt,2020-03-20,Vintage Unpowered
330,green blue white,green,blue white,midrange,naturalorder,Four Color (URGW)  Natural Order Midrange [WOTC Vintage].txt,2020-04-25,WOTC Vintage
331,red green blue white,green blue,red white,midrange,armageddon  edric,Four Color (URGW) Edric Armageddon Midrange [WOTC Vintage].txt,2020-07-03,WOTC Vintage
332,red green blue white,green white,red blue,midrange,-,Four Color (URGW) Goodstuff Midrange [WOTC Vintage].txt,2020-07-03,WOTC Vintage
333,red green blue white,red blue,green white,combo,twin,Four Color (URGW) Kiki Combo 6.20.18.txt,2018-06-20,Vintage Unpowered
334,red green blue white,red blue,green white,combo,twin  cheat  artifacts,Four Color (URGW) Kiki Twin Tinker Sneak Attack Cheaty Face Combo 9.1.18.txt,2018-09-01,Vintage Unpowered
335,red green blue white,red green,blue white,midrange,-,Four Color (URGW) Lands Matters Midrange [WOTC Vintage].txt,2020-09-12,WOTC Vintage
336,red green blue white,green,red blue white,midrange,skullclamp  naturalorder,Four Color (URGW) Natural Order Skullclamp Midrange [WOTC Vintage],2021-01-31,WOTC Vintage
337,red green blue white,red green blue white,-,control,-,Four Color (URGW) Omnath Control,2021-01-31,Vintage Unpowered
338,red green blue black white,red green white,blue black,midrange,-,Four Color (URGW) Omnath Midrange [WOTC Vintage],2021-01-31,WOTC Vintage
339,red green blue white,blue white,red green,midrange,reveillark,Four Color (URGW) Reveillark Midrange 1.21.18.txt,2018-01-21,Vintage Unpowered
340,red green blue white,red blue,green white,aggro control,spellsmatter,Four Color (URGW) Spells Matters Tempo,2021-01-31,Vintage Unpowered
341,red green blue white,blue white,red green,combo,cheat  artifacts  oath,Four Color (WURG) Tinker Oath and Tell Cheaty Face Combo 4.21.18 [WOTC Vintage].txt,2018-04-21,WOTC Vintage
342,red green blue black,green,red blue black,combo,cheat,Four-Color (URBG) Cheaty Face Combo 2.24.18.txt,2018-02-24,Vintage Unpowered
343,green black,green,black,midrange,-,Golgari (BG) +1+1 Counters Matters Midrange.txt,2020-07-03,Vintage Unpowered
344,green black,green black,-,aggro,-,Golgari (BG) Aggro.txt,2017-12-03,Vintage Unpowered
345,green black,green black,-,midrange,-,Golgari (BG) Goodstuff Midrange [WOTC Vintage].txt,2020-07-03,WOTC Vintage
346,green black,green black,-,midrange,-,Golgari (BG) Lands Matters Midrange.txt,2019-07-28,Vintage Unpowered
347,green black,green black,-,midrange,stax,Golgari (BG) Midrange Stax 1.15.18 [WOTC Vintage].txt,2018-01-15,WOTC Vintage
348,green black,green,black,midrange,naturalorder,Golgari (BG) Natural Order Midrange.txt,2020-07-03,Vintage Unpowered
349,green black,green,black,ramp,naturalorder,Golgari (BG) Natural Order Ramp 8.12.18.txt,2018-08-12,Vintage Unpowered
350,green black,green black,-,combo,cheat  naturalorder  survival,Golgari (BG) Natural Order Survival Cheaty Face Combo [WOTC Vintage].txt,2019-09-03,WOTC Vintage
351,green black,green black,-,combo,reanimator,Golgari (BG) Reanimator Combo 3.24.18.txt,2018-03-24,Vintage Unpowered
352,green black,green black,-,combo,reanimator,Golgari (BG) Reanimator Combo [WOTC Vintage].txt,2019-10-12,WOTC Vintage
353,green black,green black,-,combo,reanimator,Golgari (BG) Reanimator Combo.txt,2020-04-25,Vintage Unpowered
354,green black,green black,-,midrange,reanimator,Golgari (BG) Recurring Nightmare Midrange.txt,2020-01-12,Vintage Unpowered
355,green black,green black,-,combo,reanimator,Golgari (BG) Recurring Nightmare Reanimator Combo.txt,2019-09-15,Vintage Unpowered
356,green black,green black,-,combo,reanimator,Golgari (BG) Recurring Nightmare Reanimator Living Death Combo [WOTC Vintage].txt,2020-01-12,WOTC Vintage
357,green black,green,black,ramp,skullclamp,Golgari (BG) Skullclamp Super Ramp 10.11.18.txt,2018-10-11,Vintage Unpowered
358,green black,black,green,aggro,stax,Golgari (BG) Stax Aggro 3.17.18.txt,2018-03-17,Vintage Unpowered
359,green black,green black,-,combo,reanimator  survival,Golgari (BG) Survival Reanimator Combo [WOTC Vintage].txt,2020-01-12,WOTC Vintage
360,green black,green black,-,midrange,-,Golgari (BG) Vraska Midrange 10.13.18.txt,2018-10-13,Vintage Unpowered
361,green black,green black,-,midrange,-,Golgari (BG) Vraska Midrange 10.5.18.txt,2018-10-05,Vintage Unpowered
362,red blue black,red blue,black,midrange,artifacts,Grixis (UBR) Artifacts Matters Midrange,2021-01-31,Vintage Unpowered
363,red blue black,blue black,red,control,-,Grixis (UBR) Bolas Control [WOTC Vintage].txt,2020-09-12,WOTC Vintage
364,red blue black,red blue black,-,control,-,Grixis (UBR) Control 4.21.18 [WOTC Vintage].txt,2018-04-21,WOTC Vintage
365,red blue black,red blue,black,control,-,Grixis (UBR) Control [WOTC Vintage].txt,2019-07-02,WOTC Vintage
366,red blue black,red blue,black,control,-,Grixis (UBR) Control.txt,2020-09-12,Vintage Unpowered
367,red blue black,black,red blue,combo,reanimator,Grixis (UBR) Gifts Reanimator Combo [WOTC Vintage].txt,2019-04-12,WOTC Vintage
368,red blue black,red blue,black,combo,twin,Grixis (UBR) Kiki Combo [WOTC Vintage].txt,2020-07-03,WOTC Vintage
369,red blue black,red blue black,-,midrange,twin,Grixis (UBR) Kiki-Jiki Goodstuff Midrange 11.24.18 [WOTC Vintage].txt,2018-11-24,WOTC Vintage
370,red blue black,red blue,black,combo  midrange,twin  wildfire  upheaval,Grixis (UBR) Kiki-Twin Combo Upheaval Wildfire Midrange 10.14.18.txt,2018-10-14,Vintage Unpowered
371,red blue black,red blue black,-,combo,twin,Grixis (UBR) Kiki-Twin Combo [WOTC Vintage].txt,2020-09-12,WOTC Vintage
372,red blue black,red blue black,-,midrange,-,Grixis (UBR) Midrange,2021-01-31,Vintage Unpowered
373,red blue black,red blue black,-,midrange,-,Grixis (UBR) Midrange 9.12.18 [WOTC Vintage].txt,2018-09-12,WOTC Vintage
374,red green blue black,blue black,red green,combo,reanimator,Grixis (UBR) Psychatog Reanimator Combo.txt,2018-12-23,Vintage Unpowered
375,red green blue black,blue black,red green,combo,reanimator,Grixis (UBR) Psychatog Reanimator Sneak Attack Combo.txt,2018-12-23,Vintage Unpowered
376,red blue black,blue black,red,ramp,-,Grixis (UBR) Ramp 7.14.18.txt,2018-07-14,Vintage Unpowered
377,red blue black white,blue black,red white,control  ramp,-,Grixis (UBR) Ramp Control.txt,2017-12-03,Vintage Unpowered
378,red blue black,red blue black,-,combo,reanimator  cheat,Grixis (UBR) Reanimator Cheaty Face Combo [WOTC Vintage].txt,2020-01-12,WOTC Vintage
379,red blue black,blue black,red,combo,reanimator,Grixis (UBR) Reanimator Combo 11.14.18.txt,2018-11-14,Vintage Unpowered
380,red blue black,red blue black,-,combo,reanimator,Grixis (UBR) Reanimator Combo 6.4.18.txt,2018-06-04,Vintage Unpowered
381,red blue black,blue black,red,combo,reanimator,Grixis (UBR) Reanimator Combo 7.6.18.txt,2018-07-06,Vintage Unpowered
382,red blue black,blue black,red,combo,reanimator,Grixis (UBR) Reanimator Combo [WOTC Vintage].txt,2019-09-15,WOTC Vintage
383,red blue black,blue black,red,combo,reanimator,Grixis (UBR) Reanimator Combo copy [WOTC Vintage].txt,2019-09-15,WOTC Vintage
384,red blue black,blue black,red,combo,reanimator,Grixis (UBR) Reanimator Combo.txt,2019-04-28,Vintage Unpowered
385,red blue black,red blue black,-,control,reanimator,Grixis (UBR) Reanimator Control.txt,2019-07-02,Vintage Unpowered
386,red blue black,red black,blue,midrange,reanimator,Grixis (UBR) Reanimator Midrange.txt,2019-07-28,Vintage Unpowered
387,red blue black,black,red blue,combo,reanimator,Grixis (UBR) Reanimator Sneak Attack Combo [WOTC Vintage].txt,2019-05-26,WOTC Vintage
388,red blue black,red blue,black,control,reanimator,Grixis (UBR) Recurring Nightmare Control.txt,2017-12-03,Vintage Unpowered
389,red blue black,blue black,red,midrange,opposition  reanimator,Grixis (UBR) Recurring Nightmare Opposition Midrange 8.18.18.txt,2018-08-18,Vintage Unpowered
390,red blue black,blue black,red,midrange,skullclamp,Grixis (UBR) Skullclamp Midrange [WOTC Vintage].txt,2020-07-03,WOTC Vintage
391,red blue black,red black,blue,combo,cheat,Grixis (UBR) Sneak Attack Cheaty Face Combo [WOTC Vintage].txt,2020-09-12,WOTC Vintage
392,red blue black,red blue black,-,combo,reanimator,Grixis (UBR) Sneak Attack Reanimator Combo 7.9.18.txt,2018-07-09,Vintage Unpowered
393,red green blue black,blue black,red green,combo,reanimator,Grixis (UBR) Sneak Attack Reanimator Combo.txt,2020-07-03,Vintage Unpowered
394,red blue black,red blue,black,control,spellsmatter,Grixis (UBR) Spells Matters Control,2021-01-31,Vintage Unpowered
395,red blue black,red blue black,-,control,spellsmatter,Grixis (UBR) Spells Matters Control 6.2.18.txt,2018-06-02,Vintage Unpowered
396,red blue black,red blue black,-,combo,storm,Grixis (UBR) Storm Combo (Old Border Cube).txt,2020-09-12,Vintage Unpowered
397,red blue black,blue,red black,combo,storm,Grixis (UBR) Storm Combo [WOTC Vintage].txt,2018-12-22,WOTC Vintage
398,red blue black,red black,blue,aggro,-,Grixis (UBR) Time Walk Aggro 4.27.18 [WOTC Vintage].txt,2018-04-27,WOTC Vintage
399,red blue black,blue,red black,control,artifacts  abyss  crucible,Grixis (UBR) Tinker Abyss Crucible Control.txt,2017-12-03,Vintage Unpowered
400,red blue black,blue,red black,ramp,artifacts,Grixis (UBR) Tinker Artifact Ramp 9.29.18.txt,2018-09-29,Vintage Unpowered
401,red blue black,red blue,black,ramp,artifacts,Grixis (UBR) Tinker Artifact Ramp.txt,2020-01-12,Vintage Unpowered
402,red blue black,blue,red black,control,artifacts,Grixis (UBR) Tinker Control 4.1.18.txt,2018-04-01,Vintage Unpowered
403,red blue black,red blue black,-,control,artifacts,Grixis (UBR) Tinker Control [WOTC Vintage].txt,2020-09-12,WOTC Vintage
404,red blue black,blue black,red,ramp,artifacts,Grixis (UBR) Tinker Ramp.txt,2018-12-29,Vintage Unpowered
405,red blue black,blue black,red,combo,cheat  artifacts,Grixis (UBR) Tinker Show and Tell Cheaty Face Combo 8.11.18.txt,2018-08-11,Vintage Unpowered
406,red blue black,blue,red black,ramp,artifacts  upheaval,Grixis (UBR) Tinker Upheaval Ramp 10.4.18.txt,2018-10-04,Vintage Unpowered
407,red blue black,blue black,red,ramp,artifacts  upheaval,Grixis (UBR) Tinker Upheaval Ramp.txt,2017-12-03,Vintage Unpowered
408,red blue black,blue,red black,ramp,wildfire  artifacts  upheaval,Grixis (UBR) Tinker Wildfire Upheaval Ramp 9.21.18.txt,2018-09-21,Vintage Unpowered
409,red blue black,red blue black,-,midrange,twin,Grixis (UBR) Twin Midrange [WOTC Vintage].txt,2019-01-09,WOTC Vintage
410,red blue black,blue,red black,ramp,artifacts  upheaval,Grixis (UBR) Upheaval Artifacts Matters Ramp 9.9.18 [WOTC Vintage].txt,2018-09-09,WOTC Vintage
411,red blue,red blue,-,control,upheaval,Grixis (UBR) Upheaval Control.txt,2018-12-11,Vintage Unpowered
412,red blue black,red blue,black,ramp,wildfire  artifacts  upheaval,Grixis (UBR) Upheaval Wildfire Artifacts Matter Ramp.txt,2020-03-20,Vintage Unpowered
413,red blue black,red blue,black,control,wildfire  upheaval,Grixis (UBR) Upheaval Wildfire Control.txt,2020-03-20,Vintage Unpowered
414,red blue black,red black,blue,control,wildfire  upheaval  superfriends,Grixis (UBR) Upheaval Wildfire Superfriends Control.txt,2017-12-03,Vintage Unpowered
415,red blue black,red blue,black,midrange,artifacts,Grixis (UBR) Urza Artifacts Midrange.txt,2020-09-12,Vintage Unpowered
416,red blue black,red blue,black,ramp,wildfire,Grixis (UBR) Wildfire Ramp 11.24.18.txt,2018-11-24,Vintage Unpowered
417,red blue black,red black,blue,midrange,-,Grixis (UBR) Yawgmoth Aggressive Midrange [WOTC Vintage].txt,2020-03-20,WOTC Vintage
418,red blue black,blue black,red,ramp,reanimator  artifacts,Grixis (URB) Recurring Nightmare Reanimator Artifacts Matters Ramp 12.25.17.txt,2017-12-25,Vintage Unpowered
419,red blue black,red blue black,-,combo,storm,Grixis (URB) Storm Combo [WOTC Vintage],2021-01-31,WOTC Vintage
420,red blue black,red blue,black,aggro control,-,Grixis (URB) Tempo,2021-01-31,Vintage Unpowered
421,red green,red green,-,midrange,-,Gruul (RG) Aggressive Midrange [WOTC Vintage].txt,2018-11-30,WOTC Vintage
422,red green,red green,-,midrange,tokens,Gruul (RG) Aggressive Tokens Midrange.txt,2020-04-25,Vintage Unpowered
423,red green,red green,-,midrange,twin,Gruul (RG) Aggressive Twin Midrange.txt,2020-04-25,Vintage Unpowered
424,red green,red,green,aggro,-,Gruul (RG) Aggro [WOTC Vintage].txt,2020-04-25,WOTC Vintage
425,red green,red,green,aggro,-,Gruul (RG) Aggro copy.txt,2019-06-16,Vintage Unpowered
426,red green,red,green,aggro,-,Gruul (RG) Aggro.txt,2019-06-16,Vintage Unpowered
427,red green,red green,-,ramp,channel,Gruul (RG) Channel Ramp.txt,2020-09-12,Vintage Unpowered
428,red green,red green,-,midrange,-,Gruul (RG) Goodstuff Midrange 2 [WOTC Vintage].txt,2020-04-25,WOTC Vintage
429,red green,red green,-,midrange,-,Gruul (RG) Goodstuff Midrange [WOTC Vintage].txt,2020-04-25,WOTC Vintage
430,red green,red green,-,midrange,naturalorder,Gruul (RG) Lutri Natural Order Monarch Midrange,2021-01-31,Vintage Unpowered
