name,color,cmc,manaCost,power,toughness,text,types,subtypes
Onulet,Colorless,3,{3},2,2,"When Onulet dies, you gain 2 life.", Artifact Creature, Construct
Phyrexian War Beast,Colorless,3,{3},3,4,"When Phyrexian War Beast leaves the battlefield, sacrifice a land and Phyrexian War Beast deals 1 damage to you.", Artifact Creature, Beast
Ring of Ma'rûf,Colorless,5,{5},,,"{5}, {T}, Exile Ring of Ma'rûf: The next time you would draw a card this turn, instead choose a card you own from outside the game and put it into your hand.", Artifact,
Serpent Generator,Colorless,6,{6},,,"{4}, {T}: Create a 1/1 colorless Snake artifact creature token. It has ""Whenever this creature deals damage to a player, that player gets a poison counter."" (A player with ten or more poison counters loses the game.)", Artifact,
Shield of the Ages,Colorless,2,{2},,,{2}: Prevent the next 1 damage that would be dealt to you this turn., Artifact,
Shield Sphere,Colorless,0,{0},0,6,"Defender
Whenever Shield Sphere blocks, put a -0/-1 counter on it.", Artifact Creature, Wall
Stone Calendar,Colorless,5,{5},,,Spells you cast cost up to {1} less to cast., Artifact,
Tawnos's Coffin,Colorless,4,{4},,,"You may choose not to untap Tawnos's Coffin during your untap step.
{3}, {T}: Exile target creature and all Auras attached to it. Note the number and kind of counters that were on that creature. When Tawnos's Coffin leaves the battlefield or becomes untapped, return that exiled card to the battlefield under its owner's control tapped with the noted number and kind of counters on it. If you do, return the other exiled cards to the battlefield under their owner's control attached to that permanent.", Artifact,
Urza's Bauble,Colorless,0,{0},,,"{T}, Sacrifice Urza's Bauble: Look at a card at random in target player's hand. You draw a card at the beginning of the next turn's upkeep.", Artifact,
Urza's Chalice,Colorless,1,{1},,,"Whenever a player casts an artifact spell, you may pay {1}. If you do, you gain 1 life.", Artifact,
Walking Wall,Colorless,4,{4},0,6,"Defender
{3}: Walking Wall gets +3/-1 until end of turn and can attack this turn as though it didn't have defender. Activate this ability only once each turn.", Artifact Creature, Wall
Winter Orb,Colorless,2,{2},,,"As long as Winter Orb is untapped, players can't untap more than one land during their untap steps.", Artifact,
Zuran Orb,Colorless,0,{0},,,Sacrifice a land: You gain 2 life., Artifact,
Diamond Valley,Colorless,0,,,,"{T}, Sacrifice a creature: You gain life equal to the sacrificed creature's toughness.", Land,
Island of Wak-Wak,Colorless,0,,,,{T}: Target creature with flying has base power 0 until end of turn., Land,
Rainbow Vale,Colorless,0,,,,{T}: Add one mana of any color. An opponent gains control of Rainbow Vale at the beginning of the next end step., Land,
Angelic Voices, White,4,{2}{W}{W},,,"Creatures you control get +1/+1 as long as you control no nonartifact, nonwhite creatures.", Enchantment,
Argivian Blacksmith, White,3,{1}{W}{W},2,2,{T}: Prevent the next 2 damage that would be dealt to target artifact creature this turn., Creature, Human Artificer
Blaze of Glory, White,1,{W},,,"Cast this spell only during combat before blockers are declared.
Target creature defending player controls can block any number of creatures this turn. It blocks each attacking creature this turn if able.", Instant,
Champion Lancer, White,6,{4}{W}{W},3,3,Prevent all damage that would be dealt to Champion Lancer by creatures., Creature, Human Knight
Conversion, White,4,{2}{W}{W},,,"At the beginning of your upkeep, sacrifice Conversion unless you pay {W}{W}.
All Mountains are Plains.", Enchantment,
Divine Offering, White,2,{1}{W},,,Destroy target artifact. You gain life equal to its converted mana cost., Instant,
Eye for an Eye, White,2,{W}{W},,,"The next time a source of your choice would deal damage to you this turn, instead that source deals that much damage to you and Eye for an Eye deals that much damage to that source's controller.", Instant,
Healing Salve, White,1,{W},,,"Choose one —
• Target player gains 3 life.
• Prevent the next 3 damage that would be dealt to any target this turn.", Instant,
Island Sanctuary, White,2,{1}{W},,,"If you would draw a card during your draw step, instead you may skip that draw. If you do, until your next turn, you can't be attacked except by creatures with flying and/or islandwalk.", Enchantment,
Kismet, White,4,{3}{W},,,"Artifacts, creatures, and lands your opponents control enter the battlefield tapped.", Enchantment,
Leeches, White,3,{1}{W}{W},,,Target player loses all poison counters. Leeches deals that much damage to that player., Sorcery,
Martyr's Cry, White,2,{W}{W},,,"Exile all white creatures. For each creature exiled this way, its controller draws a card.", Sorcery,
Martyrs of Korlis, White,5,{3}{W}{W},1,6,"As long as Martyrs of Korlis is untapped, all damage that would be dealt to you by artifacts is dealt to Martyrs of Korlis instead.", Creature, Human
Osai Vultures, White,2,{1}{W},1,1,"Flying
At the beginning of each end step, if a creature died this turn, put a carrion counter on Osai Vultures.
Remove two carrion counters from Osai Vultures: Osai Vultures gets +1/+1 until end of turn.", Creature, Bird
Personal Incarnation, White,6,{3}{W}{W}{W},6,6,"{0}: The next 1 damage that would be dealt to Personal Incarnation this turn is dealt to its owner instead. Only Personal Incarnation's owner may activate this ability.
When Personal Incarnation dies, its owner loses half their life, rounded up.", Creature, Avatar Incarnation
Savannah Lions, White,1,{W},2,1,, Creature, Cat
Serra Aviary, White,4,{3}{W},,,Creatures with flying get +1/+1., Enchantment,
Serra Bestiary, White,2,{W}{W},,,"Enchant creature
At the beginning of your upkeep, sacrifice Serra Bestiary unless you pay {W}{W}.
Enchanted creature can't attack or block, and its activated abilities with {T} in their costs can't be activated.", Enchantment, Aura
Veteran Bodyguard, White,5,{3}{W}{W},2,5,"As long as Veteran Bodyguard is untapped, all damage that would be dealt to you by unblocked creatures is dealt to Veteran Bodyguard instead.", Creature, Human
Wild Aesthir, White,3,{2}{W},1,1,"Flying, first strike
{W}{W}: Wild Aesthir gets +2/+0 until end of turn. Activate this ability only once each turn.", Creature, Bird
Acid Rain, Blue,4,{3}{U},,,Destroy all Forests., Sorcery,
Animate Artifact, Blue,4,{3}{U},,,"Enchant artifact
As long as enchanted artifact isn't a creature, it's an artifact creature with power and toughness each equal to its converted mana cost.", Enchantment, Aura
Braingeyser, Blue,2,{X}{U}{U},,,Target player draws X cards., Sorcery,
Copy Artifact, Blue,2,{1}{U},,,"You may have Copy Artifact enter the battlefield as a copy of any artifact on the battlefield, except it's an enchantment in addition to its other types.", Enchantment,
Drain Power, Blue,2,{U}{U},,,Target player activates a mana ability of each land they control. Then that player loses all unspent mana and you add the mana lost this way., Sorcery,
Drowned, Blue,2,{1}{U},1,1,{B}: Regenerate Drowned., Creature, Zombie
Energy Flux, Blue,3,{2}{U},,,"All artifacts have ""At the beginning of your upkeep, sacrifice this artifact unless you pay {2}.""", Enchantment,
In the Eye of Chaos, Blue,3,{2}{U},,,"Whenever a player casts an instant spell, counter it unless that player pays {X}, where X is its converted mana cost.", Enchantment,
Mahamoti Djinn, Blue,6,{4}{U}{U},5,6,Flying (This creature can't be blocked except by creatures with flying or reach.), Creature, Djinn
Mystic Decree, Blue,4,{2}{U}{U},,,All creatures lose flying and islandwalk., Enchantment,
Phantasmal Forces, Blue,4,{3}{U},4,1,"Flying
At the beginning of your upkeep, sacrifice Phantasmal Forces unless you pay {U}.", Creature, Illusion
Phantasmal Terrain, Blue,2,{U}{U},,,"Enchant land
As Phantasmal Terrain enters the battlefield, choose a basic land type.
Enchanted land is the chosen type.", Enchantment, Aura
Power Artifact, Blue,2,{U}{U},,,"Enchant artifact
Enchanted artifact's activated abilities cost {2} less to activate. This effect can't reduce the amount of mana an ability costs to activate to less than one mana.", Enchantment, Aura
Reconstruction, Blue,1,{U},,,Return target artifact card from your graveyard to your hand., Sorcery,
Sea Serpent, Blue,6,{5}{U},5,5,"Sea Serpent can't attack unless defending player controls an Island.
When you control no Islands, sacrifice Sea Serpent.", Creature, Serpent
Serendib Djinn, Blue,4,{2}{U}{U},5,6,"Flying
At the beginning of your upkeep, sacrifice a land. If you sacrifice an Island this way, Serendib Djinn deals 3 damage to you.
When you control no lands, sacrifice Serendib Djinn.", Creature, Djinn
Soldevi Machinist, Blue,2,{1}{U},1,1,{T}: Add {C}{C}. Spend this mana only to activate abilities of artifacts., Creature, Human Wizard Artificer
Stasis, Blue,2,{1}{U},,,"Players skip their untap steps.
At the beginning of your upkeep, sacrifice Stasis unless you pay {U}.", Enchantment,
Transmute Artifact, Blue,2,{U}{U},,,"Sacrifice an artifact. If you do, search your library for an artifact card. If that card's converted mana cost is less than or equal to the sacrificed artifact's converted mana cost, put it onto the battlefield. If it's greater, you may pay {X}, where X is the difference. If you do, put it onto the battlefield. If you don't, put it into its owner's graveyard. Then shuffle your library.", Sorcery,
Water Elemental, Blue,5,{3}{U}{U},5,4,, Creature, Elemental
Cyclopean Mummy, Black,2,{1}{B},2,1,"When Cyclopean Mummy dies, exile it.", Creature, Zombie
Deathgrip, Black,2,{B}{B},,,{B}{B}: Counter target green spell., Enchantment,
Demonic Hordes, Black,6,{3}{B}{B}{B},5,5,"{T}: Destroy target land.
At the beginning of your upkeep, unless you pay {B}{B}{B}, tap Demonic Hordes and sacrifice a land of an opponent's choice.", Creature, Demon
Dread Wight, Black,5,{3}{B}{B},3,4,"At end of combat, put a paralyzation counter on each creature blocking or blocked by Dread Wight and tap those creatures. Each of those creatures doesn't untap during its controller's untap step for as long as it has a paralyzation counter on it. Each of those creatures gains ""{4}: Remove a paralyzation counter from this creature.""", Creature, Zombie
Gate to Phyrexia, Black,2,{B}{B},,,Sacrifice a creature: Destroy target artifact. Activate this ability only during your upkeep and only once each turn., Enchantment,
Gloom, Black,3,{2}{B},,,"White spells cost {3} more to cast.
Activated abilities of white enchantments cost {3} more to activate.", Enchantment,
Gravebind, Black,1,{B},,,"Target creature can't be regenerated this turn.
Draw a card at the beginning of the next turn's upkeep.", Instant,
Guardian Beast, Black,4,{3}{B},2,4,"As long as Guardian Beast is untapped, noncreature artifacts you control can't be enchanted, they have indestructible, and other players can't gain control of them. This effect doesn't remove Auras already attached to those artifacts.", Creature, Beast
Hasran Ogress, Black,2,{B}{B},3,2,"Whenever Hasran Ogress attacks, it deals 3 damage to you unless you pay {2}.", Creature, Ogre
Howl from Beyond, Black,1,{X}{B},,,Target creature gets +X/+0 until end of turn., Instant,
Junún Efreet, Black,3,{1}{B}{B},3,3,"Flying
At the beginning of your upkeep, sacrifice Junún Efreet unless you pay {B}{B}.", Creature, Efreet
Lich, Black,4,{B}{B}{B}{B},,,"As Lich enters the battlefield, you lose life equal to your life total.
You don't lose the game for having 0 or less life.
If you would gain life, draw that many cards instead.
Whenever you're dealt damage, sacrifice that many nontoken permanents. If you can't, you lose the game.
When Lich is put into a graveyard from the battlefield, you lose the game.", Enchantment,
Lim-Dûl's Cohort, Black,3,{1}{B}{B},2,3,"Whenever Lim-Dûl's Cohort blocks or becomes blocked by a creature, that creature can't be regenerated this turn.", Creature, Zombie
Minion of Tevesh Szat, Black,7,{4}{B}{B}{B},4,4,"At the beginning of your upkeep, Minion of Tevesh Szat deals 2 damage to you unless you pay {B}{B}.
{T}: Target creature gets +3/-2 until end of turn.", Creature, Demon Minion
Scavenging Ghoul, Black,4,{3}{B},2,2,"At the beginning of each end step, put a corpse counter on Scavenging Ghoul for each creature that died this turn.
Remove a corpse counter from Scavenging Ghoul: Regenerate Scavenging Ghoul.", Creature, Zombie
Sengir Vampire, Black,5,{3}{B}{B},4,4,"Flying (This creature can't be blocked except by creatures with flying or reach.)
Whenever a creature dealt damage by Sengir Vampire this turn dies, put a +1/+1 counter on Sengir Vampire.", Creature, Vampire
Warp Artifact, Black,2,{B}{B},,,"Enchant artifact
At the beginning of the upkeep of enchanted artifact's controller, Warp Artifact deals 1 damage to that player.", Enchantment, Aura
Weakness, Black,1,{B},,,"Enchant creature
Enchanted creature gets -2/-1.", Enchantment, Aura
Word of Command, Black,2,{B}{B},,,"Look at target opponent's hand and choose a card from it. You control that player until Word of Command finishes resolving. The player plays that card if able. While doing so, the player can activate mana abilities only if they're from lands that player controls and only if mana they produce is spent to activate other mana abilities of lands the player controls and/or to play that card. If the chosen card is cast as a spell, you control the player while that spell is resolving.", Instant,
Xenic Poltergeist, Black,3,{1}{B}{B},1,1,"{T}: Until your next upkeep, target noncreature artifact becomes an artifact creature with power and toughness each equal to its converted mana cost.", Creature, Spirit
Zombie Master, Black,3,{1}{B}{B},2,3,"Other Zombie creatures have swampwalk. (They can't be blocked as long as defending player controls a Swamp.)
Other Zombies have ""{B}: Regenerate this permanent.""", Creature, Zombie
Aladdin, Red,4,{2}{R}{R},1,1,"{1}{R}{R}, {T}: Gain control of target artifact for as long as you control Aladdin.", Creature, Human Rogue
Ali from Cairo, Red,4,{2}{R}{R},0,1,Damage that would reduce your life total to less than 1 reduces it to 1 instead., Creature, Human
Atog, Red,2,{1}{R},1,2,Sacrifice an artifact: Atog gets +2/+2 until end of turn., Creature, Atog
Bird Maiden, Red,3,{2}{R},1,2,Flying, Creature, Human Bird
Detonate, Red,1,{X}{R},,,Destroy target artifact with converted mana cost X. It can't be regenerated. Detonate deals X damage to that artifact's controller., Sorcery,
Fork, Red,2,{R}{R},,,"Copy target instant or sorcery spell, except that the copy is red. You may choose new targets for the copy.", Instant,
Goblin Caves, Red,3,{1}{R}{R},,,"Enchant land
As long as enchanted land is a basic Mountain, Goblin creatures get +0/+2.", Enchantment, Aura
Goblin Shrine, Red,3,{1}{R}{R},,,"Enchant land
As long as enchanted land is a basic Mountain, Goblin creatures get +1/+0.
When Goblin Shrine leaves the battlefield, it deals 1 damage to each Goblin creature.", Enchantment, Aura
Goblin Warrens, Red,3,{2}{R},,,"{2}{R}, Sacrifice two Goblins: Create three 1/1 red Goblin creature tokens.", Enchantment,
Gorilla War Cry, Red,2,{1}{R},,,"Cast this spell only during combat before blockers are declared.
All creatures gain menace until end of turn. (They can't be blocked except by two or more creatures.)
Draw a card at the beginning of the next turn's upkeep.", Instant,
Mijae Djinn, Red,3,{R}{R}{R},6,3,"Whenever Mijae Djinn attacks, flip a coin. If you lose the flip, remove Mijae Djinn from combat and tap it.", Creature, Djinn
Primitive Justice, Red,2,{1}{R},,,"As an additional cost to cast this spell, you may pay {1}{R} and/or {1}{G} any number of times.
Destroy target artifact. For each additional {1}{R} you paid, destroy another target artifact. For each additional {1}{G} you paid, destroy another target artifact, and you gain 1 life.", Sorcery,
Red Elemental Blast, Red,1,{R},,,"Choose one —
• Counter target blue spell.
• Destroy target blue permanent.", Instant,
Roc of Kher Ridges, Red,4,{3}{R},3,3,Flying, Creature, Bird
Rock Hydra, Red,2,{X}{R}{R},0,0,"Rock Hydra enters the battlefield with X +1/+1 counters on it.
For each 1 damage that would be dealt to Rock Hydra, if it has a +1/+1 counter on it, remove a +1/+1 counter from it and prevent that 1 damage.
{R}: Prevent the next 1 damage that would be dealt to Rock Hydra this turn.
{R}{R}{R}: Put a +1/+1 counter on Rock Hydra. Activate this ability only during your upkeep.", Creature, Hydra
Sedge Troll, Red,3,{2}{R},2,2,"Sedge Troll gets +1/+1 as long as you control a Swamp.
{B}: Regenerate Sedge Troll.", Creature, Troll
Smoke, Red,2,{R}{R},,,Players can't untap more than one creature during their untap steps., Enchantment,
Thunder Dragon, Red,7,{5}{R}{R},5,5,"Flying
When Thunder Dragon enters the battlefield, it deals 3 damage to each creature without flying.", Creature, Dragon
Two-Headed Giant of Foriys, Red,5,{4}{R},4,4,"Trample
Two-Headed Giant of Foriys can block an additional creature each combat.", Creature, Giant
Argothian Pixies, Green,2,{1}{G},2,1,"Argothian Pixies can't be blocked by artifact creatures.
Prevent all damage that would be dealt to Argothian Pixies by artifact creatures.", Creature, Faerie
Argothian Treefolk, Green,5,{3}{G}{G},3,5,Prevent all damage that would be dealt to Argothian Treefolk by artifact sources., Creature, Treefolk
Citanul Druid, Green,2,{1}{G},1,1,"Whenever an opponent casts an artifact spell, put a +1/+1 counter on Citanul Druid.", Creature, Human Druid
Crumble, Green,1,{G},,,Destroy target artifact. It can't be regenerated. That artifact's controller gains life equal to its converted mana cost., Instant,
Cyclone, Green,4,{2}{G}{G},,,"At the beginning of your upkeep, put a wind counter on Cyclone, then sacrifice Cyclone unless you pay {G} for each wind counter on it. If you pay, Cyclone deals damage equal to the number of wind counters on it to each creature and each player.", Enchantment,
Drop of Honey, Green,1,{G},,,"At the beginning of your upkeep, destroy the creature with the least power. It can't be regenerated. If two or more creatures are tied for least power, you choose one of them.
When there are no creatures on the battlefield, sacrifice Drop of Honey.", Enchantment,
Fog, Green,1,{G},,,Prevent all combat damage that would be dealt this turn., Instant,
Gaea's Avenger, Green,3,{1}{G}{G},1+*,1+*,Gaea's Avenger's power and toughness are each equal to 1 plus the number of artifacts your opponents control., Creature, Treefolk
Instill Energy, Green,1,{G},,,"Enchant creature
Enchanted creature can attack as though it had haste.
{0}: Untap enchanted creature. Activate this ability only during your turn and only once each turn.", Enchantment, Aura
Kudzu, Green,3,{1}{G}{G},,,"Enchant land
When enchanted land becomes tapped, destroy it. That land's controller attaches Kudzu to a land of their choice.", Enchantment, Aura
Lifeforce, Green,2,{G}{G},,,{G}{G}: Counter target black spell., Enchantment,
Living Lands, Green,4,{3}{G},,,All Forests are 1/1 creatures that are still lands., Enchantment,
Radjan Spirit, Green,4,{3}{G},3,2,{T}: Target creature loses flying until end of turn., Creature, Spirit
Sandstorm, Green,1,{G},,,Sandstorm deals 1 damage to each attacking creature., Instant,
Scarwood Bandits, Green,4,{2}{G}{G},2,2,"Forestwalk (This creature can't be blocked as long as defending player controls a Forest.)
{2}{G}, {T}: Unless an opponent pays {2}, gain control of target artifact for as long as Scarwood Bandits remains on the battlefield.", Creature, Human Rogue
Scavenger Folk, Green,1,{G},1,1,"{G}, {T}, Sacrifice Scavenger Folk: Destroy target artifact.", Creature, Human
Squall, Green,3,{2}{G},,,Squall deals 2 damage to each creature with flying., Sorcery,
Titania's Song, Green,4,{3}{G},,,"Each noncreature artifact loses all abilities and becomes an artifact creature with power and toughness each equal to its converted mana cost. If Titania's Song leaves the battlefield, this effect continues until end of turn.", Enchantment,
Tsunami, Green,4,{3}{G},,,Destroy all Islands., Sorcery,
War Mammoth, Green,4,{3}{G},3,3,Trample, Creature, Elephant
Wood Elemental, Green,4,{3}{G},*,*,"As Wood Elemental enters the battlefield, sacrifice any number of untapped Forests.
Wood Elemental's power and toughness are each equal to the number of Forests sacrificed as it entered the battlefield.", Creature, Elemental
Aesthir Glider,Colorless,3,{3},2,1,"Flying
Aesthir Glider can't block.", Artifact Creature, Bird Construct
Al-abara's Carpet,Colorless,5,{5},,,"{5}, {T}: Prevent all damage that would be dealt to you this turn by attacking creatures without flying.", Artifact,
Alchor's Tomb,Colorless,4,{4},,,"{2}, {T}: Target permanent you control becomes the color of your choice. (This effect lasts indefinitely.)", Artifact,
Amulet of Kroog,Colorless,2,{2},,,"{2}, {T}: Prevent the next 1 damage that would be dealt to any target this turn.", Artifact,
Armageddon Clock,Colorless,6,{6},,,"At the beginning of your upkeep, put a doom counter on Armageddon Clock.
At the beginning of your draw step, Armageddon Clock deals damage equal to the number of doom counters on it to each player.
{4}: Remove a doom counter from Armageddon Clock. Any player may activate this ability but only during any upkeep step.", Artifact,
Ashnod's Altar,Colorless,3,{3},,,Sacrifice a creature: Add {C}{C}., Artifact,
Basalt Monolith,Colorless,3,{3},,,"Basalt Monolith doesn't untap during your untap step.
{T}: Add {C}{C}{C}.
{3}: Untap Basalt Monolith.", Artifact,
Book of Rass,Colorless,6,{6},,,"{2}, Pay 2 life: Draw a card.", Artifact,
Bottle of Suleiman,Colorless,4,{4},,,"{1}, Sacrifice Bottle of Suleiman: Flip a coin. If you win the flip, create a 5/5 colorless Djinn artifact creature token with flying. If you lose the flip, Bottle of Suleiman deals 5 damage to you.", Artifact,
Brass Man,Colorless,1,{1},1,3,"Brass Man doesn't untap during your untap step.
At the beginning of your upkeep, you may pay {1}. If you do, untap Brass Man.", Artifact Creature, Construct
Bronze Horse,Colorless,7,{7},4,4,"Trample
As long as you control another creature, prevent all damage that would be dealt to Bronze Horse by spells that target it.", Artifact Creature, Horse
Candelabra of Tawnos,Colorless,1,{1},,,"{X}, {T}: Untap X target lands.", Artifact,
Celestial Sword,Colorless,6,{6},,,"{3}, {T}: Target creature you control gets +3/+3 until end of turn. Its controller sacrifices it at the beginning of the next end step.", Artifact,
Clay Statue,Colorless,4,{4},3,1,{2}: Regenerate Clay Statue., Artifact Creature, Golem
Clockwork Avian,Colorless,5,{5},0,4,"Flying
Clockwork Avian enters the battlefield with four +1/+0 counters on it.
At end of combat, if Clockwork Avian attacked or blocked this combat, remove a +1/+0 counter from it.
{X}, {T}: Put up to X +1/+0 counters on Clockwork Avian. This ability can't cause the total number of +1/+0 counters on Clockwork Avian to be greater than four. Activate this ability only during your upkeep.", Artifact Creature, Bird
Clockwork Gnomes,Colorless,4,{4},2,2,"{3}, {T}: Regenerate target artifact creature.", Artifact Creature, Gnome
Clockwork Swarm,Colorless,4,{4},0,3,"Clockwork Swarm enters the battlefield with four +1/+0 counters on it.
Clockwork Swarm can't be blocked by Walls.
At end of combat, if Clockwork Swarm attacked or blocked this combat, remove a +1/+0 counter from it.
{X}, {T}: Put up to X +1/+0 counters on Clockwork Swarm. This ability can't cause the total number of +1/+0 counters on Clockwork Swarm to be greater than four. Activate this ability only during your upkeep.", Artifact Creature, Insect
Colossus of Sardia,Colorless,9,{9},9,9,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Colossus of Sardia doesn't untap during your untap step.
{9}: Untap Colossus of Sardia. Activate this ability only during your upkeep.", Artifact Creature, Golem
Coral Helm,Colorless,3,{3},,,"{3}, Discard a card at random: Target creature gets +2/+2 until end of turn.", Artifact,
Cyclopean Tomb,Colorless,4,{4},,,"{2}, {T}: Put a mire counter on target non-Swamp land. That land is a Swamp for as long as it has a mire counter on it. Activate this ability only during your upkeep.
When Cyclopean Tomb is put into a graveyard from the battlefield, at the beginning of each of your upkeeps for the rest of the game, remove all mire counters from a land that a mire counter was put onto with Cyclopean Tomb but that a mire counter has not been removed from with Cyclopean Tomb.", Artifact,
Diabolic Machine,Colorless,7,{7},4,4,{3}: Regenerate Diabolic Machine., Artifact Creature, Construct
Ebony Horse,Colorless,3,{3},,,"{2}, {T}: Untap target attacking creature you control. Prevent all combat damage that would be dealt to and dealt by that creature this turn.", Artifact,
Ebony Rhino,Colorless,7,{7},4,5,Trample, Artifact Creature, Rhino
Floodwater Dam,Colorless,3,{3},,,"{X}{X}{1}, {T}: Tap X target lands.", Artifact,
Flying Carpet,Colorless,4,{4},,,"{2}, {T}: Target creature gains flying until end of turn.", Artifact,
Gauntlet of Might,Colorless,4,{4},,,"Red creatures get +1/+1.
Whenever a Mountain is tapped for mana, its controller adds an additional {R}.", Artifact,
Glasses of Urza,Colorless,1,{1},,,{T}: Look at target player's hand., Artifact,
Grapeshot Catapult,Colorless,4,{4},2,3,{T}: Grapeshot Catapult deals 1 damage to target creature with flying., Artifact Creature, Construct
Horn of Deafening,Colorless,4,{4},,,"{2}, {T}: Prevent all combat damage that would be dealt by target creature this turn.", Artifact,
Ice Cauldron,Colorless,4,{4},,,"{X}, {T}: Put a charge counter on Ice Cauldron and exile a nonland card from your hand. You may cast that card for as long as it remains exiled. Note the type and amount of mana spent to pay this activation cost. Activate this ability only if there are no charge counters on Ice Cauldron.
{T}, Remove a charge counter from Ice Cauldron: Add Ice Cauldron's last noted type and amount of mana. Spend this mana only to cast the last card exiled with Ice Cauldron.", Artifact,
Jade Monolith,Colorless,4,{4},,,"{1}: The next time a source of your choice would deal damage to target creature this turn, that source deals that damage to you instead.", Artifact,
Kormus Bell,Colorless,4,{4},,,All Swamps are 1/1 black creatures that are still lands., Artifact,
Library of Leng,Colorless,1,{1},,,"You have no maximum hand size.
If an effect causes you to discard a card, discard it, but you may put it on top of your library instead of into your graveyard.", Artifact,
Living Wall,Colorless,4,{4},0,6,"Defender (This creature can't attack.)
{1}: Regenerate Living Wall.", Artifact Creature, Wall
Mana Matrix,Colorless,6,{6},,,Instant and enchantment spells you cast cost up to {2} less to cast., Artifact,
Mightstone,Colorless,4,{4},,,Attacking creatures get +1/+0., Artifact,
Naked Singularity,Colorless,5,{5},,,"Cumulative upkeep {3} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)
If tapped for mana, Plains produce {R}, Islands produce {G}, Swamps produce {W}, Mountains produce {U}, and Forests produce {B} instead of any other type.", Artifact,
Obelisk of Undoing,Colorless,1,{1},,,"{6}, {T}: Return target permanent you both own and control to your hand.", Artifact,
Obsianus Golem,Colorless,6,{6},4,6,, Artifact Creature, Golem
Pentagram of the Ages,Colorless,4,{4},,,"{4}, {T}: The next time a source of your choice would deal damage to you this turn, prevent that damage.", Artifact,
Planar Gate,Colorless,6,{6},,,Creature spells you cast cost up to {2} less to cast., Artifact,
Primal Clay,Colorless,4,{4},*,*,"As Primal Clay enters the battlefield, it becomes your choice of a 3/3 artifact creature, a 2/2 artifact creature with flying, or a 1/6 Wall artifact creature with defender in addition to its other types. (A creature with defender can't attack.)", Artifact Creature, Shapeshifter
Rakalite,Colorless,6,{6},,,{2}: Prevent the next 1 damage that would be dealt to any target this turn. Return Rakalite to its owner's hand at the beginning of the next end step., Artifact,
Ring of Renewal,Colorless,5,{5},,,"{5}, {T}: Discard a card at random, then draw two cards.", Artifact,
Scarecrow,Colorless,5,{5},2,2,"{6}, {T}: Prevent all damage that would be dealt to you this turn by creatures with flying.", Artifact Creature, Scarecrow
Shapeshifter,Colorless,6,{6},*,7-*,"As Shapeshifter enters the battlefield, choose a number between 0 and 7.
At the beginning of your upkeep, you may choose a number between 0 and 7.
Shapeshifter's power is equal to the last chosen number and its toughness is equal to 7 minus that number.", Artifact Creature, Shapeshifter
Soldevi Golem,Colorless,4,{4},5,3,"Soldevi Golem doesn't untap during your untap step.
At the beginning of your upkeep, you may untap target tapped creature an opponent controls. If you do, untap Soldevi Golem.", Artifact Creature, Golem
Staff of Zegon,Colorless,4,{4},,,"{3}, {T}: Target creature gets -2/-0 until end of turn.", Artifact,
Tablet of Epityr,Colorless,1,{1},,,"Whenever an artifact you control is put into a graveyard from the battlefield, you may pay {1}. If you do, you gain 1 life.", Artifact,
Tawnos's Wand,Colorless,4,{4},,,"{2}, {T}: Target creature with power 2 or less can't be blocked this turn.", Artifact,
Tawnos's Weaponry,Colorless,2,{2},,,"You may choose not to untap Tawnos's Weaponry during your untap step.
{2}, {T}: Target creature gets +1/+1 for as long as Tawnos's Weaponry remains tapped.", Artifact,
Tetravus,Colorless,6,{6},1,1,"Flying
Tetravus enters the battlefield with three +1/+1 counters on it.
At the beginning of your upkeep, you may remove any number of +1/+1 counters from Tetravus. If you do, create that many 1/1 colorless Tetravite artifact creature tokens. They each have flying and ""This creature can't be enchanted.""
At the beginning of your upkeep, you may exile any number of tokens created with Tetravus. If you do, put that many +1/+1 counters on Tetravus.", Artifact Creature, Construct
Triassic Egg,Colorless,4,{4},,,"{3}, {T}: Put a hatchling counter on Triassic Egg.
Sacrifice Triassic Egg: Choose one —
• You may put a creature card from your hand onto the battlefield. Activate this ability only if two or more hatchling counters are on Triassic Egg.
• Return target creature card from your graveyard to the battlefield. Activate this ability only if two or more hatchling counters are on Triassic Egg.", Artifact,
Urza's Miter,Colorless,3,{3},,,"Whenever an artifact you control is put into a graveyard from the battlefield, if it wasn't sacrificed, you may pay {3}. If you do, draw a card.", Artifact,
Vibrating Sphere,Colorless,4,{4},,,"As long as it's your turn, creatures you control get +2/+0.
As long as it's not your turn, creatures you control get -0/-2.", Artifact,
Weakstone,Colorless,4,{4},,,Attacking creatures get -1/-0., Artifact,
Yotian Soldier,Colorless,3,{3},1,4,Vigilance, Artifact Creature, Soldier
Elephant Graveyard,Colorless,0,,,,"{T}: Add {C}.
{T}: Regenerate target Elephant.", Land,
Oasis,Colorless,0,,,,{T}: Prevent the next 1 damage that would be dealt to target creature this turn., Land,
Urza's Mine,Colorless,0,,,,"{T}: Add {C}. If you control an Urza's Power-Plant and an Urza's Tower, add {C}{C} instead.", Land, Urza’s Mine
Urza's Power Plant,Colorless,0,,,,"{T}: Add {C}. If you control an Urza's Mine and an Urza's Tower, add {C}{C} instead.", Land, Urza’s Power-Plant
